ESCUELA,AGEB,X,Y,PROBLEMATICA,DESCRIPCION 
ESCUELA SECUNDARIA JUSTO SIERRA,1505700012379,19.45084,-99.28128,BANQUETA,NO EXISTE BANQUETA EN TODO EL LADO IZQUIERDO DE LA ESCUELA (APROX. 20 METROS)
ESCUELA PRIMARIA BENITO JUÁREZ,151090068110A,19.63288253,-99.13117794,BANQUETA,"TODA LA BANQUETA ESTÁ LEVANTADA, INCLUSO EL CAMINO HACIA LA CALLE"
JARDÍN DE NIÑOS SOR JUANA INÉS DE LA CRUZ,151090068110A,19.63439249,-99.13254575,RAMPA,LA RAMPA ESTÁ TORCIDA Y MAL HECHA
ELISA ESTRADA HERNÁNDEZ,151090068110A,19.63376631,-99.12960383,RAMPA,NO HAY RAMPA APROPIADA
COLEGIO LICEO DEL VALLE,1.5109E+12,19.63196688,-99.13356109,PASO PEATONAL,"NO HAY UN CORRECTO PASO PEATONAL PARA LLEGAR A LA ESCUELA, SÓLO UNA BANQUETA MUY PEQUEÑA"
ESCUELA SECUNDARIA 1121 RAFAEL RAMÍREZ,151210001134A,19.64573344,-99.273794,PASO PEATONAL,NO EXISTE UN PASO PEATONAL Y LAS CALLES NO ESTÁN PAVIMENTADAS 
JARDÍN DE NIÑOS ROSAURA ZAPATA,1.5121E+12,19.68696335,-99.22016967,RAMPA,NO EXISTE NINGUNA RAMPA EN LA ENTRADA DEL JARDÍN DE NIÑOS 
Escuela Secundaria Oficial 959 Suave Patria,151210001223A,19.6616787,-99.2501998,RAMPA ,NO EXISTE NINGUNA RAMPA Y LAS CALLES ESTÁN EN MAL ESTADO 
Escuela Primaria Octavio Paz,1.5121E+13,19.6649709,-99.2493809,VANDALISMO,LAS PAREDES DE LA ESCUELA ESTÁN FUERON VANDALIZADAS 
Jardín de Niños Fernando Montes de Oca,1.5121E+12,19.65772773,-99.25085944,RAMPA,LA RAMPA ESTÁ MAL DISEÑADA YA QUE TIENE UNA GRAN PENDIENTE 
ESCUELA SECUNDARIA JOSE MARIA VELSACO,151210001173A,19.602841,-99203024,PASO PEATONAL,EL PASO PEATONAL E4S UTILIZADO COMO UN ESTACIONAMIENTO PARA CARROS
ESCUELA PREESCOLAR NUMUTSHE,9.002E+11,19.47862,-99.19139,PASO PEATONAL,PUENTE PARA PASO PEATONAL PERO NO EXISTE ACCESIBILIDAD PARA SILLAS DE RUEDAS NI PARA PERSONAS DISCAPACITADAS  ES UNCRUCE MUY TRANSITADO
Preescolar General Emiliano Zapata,1.5057E+12,19.44844,-99.26586,RAMPA,Rampa para silla de ruedas: Sin accesibilidad para personas con discapacidad
INSTITUTO SAN MATEO,1.5057E+12,19.49054378,-99.2591634,RAMPA,NO EXISTE RAMPA PARA QUE PUEDAN ACCEDER PERSONAS DISCPACITADAS Y EL ALUMBRADO ES DEFICIENTE 
"PREESCOLAR ""CARLOS FUENTES""",1.5057E+12,19.48940321,-99.26808835,RAMPA,"LA CALLE ESTA MUY INCLINADA, LO QUE LA HACE RIESGOSA Y NO EXISTE RAMPA PARA QUE PUEDAN ACCEDER PERSONAS DISCAPACITADAS"
ESTANCIA INFANTIL LA CASA DE LOS NIÑOS,1.5057E+12,19.48615782,-99.26586809,RAMPA,EL SUELO ESTA EN MAL ESTADO Y NO EXISTE RAMPA PARA QUE PUEDAN ACCEDER PERSONAS DISCAPACITADAS
ESCUELA SIERRA NEVADA SAN MATEO,1.5027E+12,19.49441226,-99.26118522,RAMPA,NO EXISTE RAMPA PARA QUE PUEDAN ACCEDER PERSONAS DISCPACITADAS 
MUNDO MONTESSORI,1.5057E+12,19.49266803,-99.25199599,SEGURIDAD,LA ZONA ES MUY RIESGOSA Y NO SE CUENTA CON CÁMARAS DE SEGURIDAD Y TAMPOCO UN PATRULLAJE CONSTANTE
JARDÍN DE NIÑOS JOSE SANCHEZ ELIZALDE,1.5057E+12,19.47845229,-99.23960581,PASO PEATONAL,LA ESCUELA CUENTA CON  RAMPA PARA PERSONAS DISCPACITADAS SIN EMBARGO LA BANQUETA NO TIENE EL MISMO ACCESO
ESCUELA PRIMARIA FEDERICO FROEBEL,1.5057E+12,19.49263157,-99.25271009,SEGURIDAD,LA ZONA ES MUY RIESGOSA Y NO SE CUENTA CON CÁMARAS DE SEGURIDAD Y TAMPOCO UN PATRULLAJE CONSTANTE
ESCUELA PRIMARIA OFICIAL 20 DE NOVIEMBRE,1.5057E+12,19.47425938,-99.24835453,RAMPA,NO EXISTE RAMPA PARA QUE PUEDAN ACCEDER LAS PERSONAS DISCPACITADAS YA QUE LA UNICA QUE HAY ES PARA USO VEHICULAR Y EL ALUMBRADO PUBLICO ES DEFICIENTE
CEDI,1.5057E+12,19.48784317,-99.24968427,RAMPA,FALTA ACCESO A DISCAPACITADOS
ESCUELA PRIMARIA LÁZARO CÁRDENAS,1.5057E+12,19.4736958,-99.24890058,PASO PEATONAL,"NO TIENE ACCESOS PARA DISCAPACITADOS, FALTA ILUMINACION Y FALTAN CAMARAS DE SEGURIDAD ADEMAS DE POCO PATRULLAJE EN LA ZONA"
Primaria Francisco I. Madero,1.5039E+12,19.31993,-98.92467,LUMINARIAS,Hay como 6 lamparas alrededor de toda la escuela
Escuela Secundaria oficial Moises Saenz,1.5039E+12,19.31963,-98.93184,LUMINARIAS,La calle mide unos135 metros y solo hay lamparas en las esquinas de la calle
CONALEP,1.5039E+12,19.31944,-98.93294,SEÑALIZACION,"Al o largo de la cale no existe ningun cruce seguro para peatones , ni niguna señalizacion que pnga atentos a los automovilistas."
Primaria Benito Juarez,1.5039E+12,19.31238,-98.92149,SEÑALIZACION,"No existe señalizacion que prevenga a los automovilistas de una escuela, ni cruce seguro de peatones. "
Primaria Adolfo Lopez Mateos,1.5039E+12,19.31554,-98.92951,BANQUETA,"Solo hay un pedazo de banqueta en la entrada de la primaria, y eso es a o largo de toda la calle"
Escuela Secundaria Gustavo Rosendo Baz Prada,1.5039E+12,19.32541,-98.93332,BANQUETA,En la calle hay rampas que impiden la libre circulacion de los peatones .
Jardin de Niños William Kilpatrick,1.5039E+12,19.32122,-98.94042,SEÑALIZACION,No hay señalizacion para advertir de una escuela.
Primaria Albert Einstein,1.5039E+12,19.32081,-98.94027,LUMINARIAS,Solo hay una luminaria en la entrada de la escuela 
Primaria Jose Antonio Alzate,1.5039E+12,19.31912,-98.93893,SEÑALIZACION,No hay señalizacion para adevertir de una escuela cando esta en una vialidad con mucho trafico
CBT No. 1 Dr Leopoldo Rio de la Loza,1.5039E+12,19.31826,-98.93705,BANQUETA,La banqueta  alrededor del CBT se encuenta en mal estado por la flata de mantenimento
Primaria Mariano Matamoros,1.5039E+12,19.32007,-98.93493,LUMINARIAS,No hay a un costado de la primaria luminarias
Jardin de Niños Juan Rulfo ,1.5039E+12,19.31946,-98.92561,SEÑALIZACION,Na hay señalizacion para advertir del jardinde niños.
Preescolar Atahualpa,1.5039E+12,19.32139,-98.92668,BANQUETA,"La banqueta fue invadida por rampas, no permite qe los peatones circulen libremente"
Secundaria David Alfaro Siqueiros,1.5039E+12,19.31937,-98.92437,LUMINARIA ,No hay mas que una lampara en la entrada de la escuela esto a lo largo de la calle
Secundaria Teozentli,1.5039E+12,19.31509,-98.92228,BANQUETA,La banqueta  esta atravesada por postes y se encuentra en mal estado 
Kinder y Primaria Emma Godoy,1.5039E+12,19.32903,-98.94624,BANQUETA,La banqueta que pasa aun costado de la escuela es muy pequeña de alrededor de 25 cm
Secundaria Leandro Valle 0097,1.5057E+12,19.489877,-99.262896,RAMPA,No hay iluminación en la zona y el acceso se encuentra en mal estado.
Carretera Picacho Ajusco. Esq. calle Saucillo,9.012E+11,19.267831,-99.209648,PASO PEATONAL,Hay un bache que no está pavimentado y no hay paso peatonal.
"Calle Maguey, Esq. Cruz del Farol",9.012E+11,19.26964,-99.211004,PASO PEATONAL,Es una calle inclinada sin paso peatonal
Calle Alhelíes y Ciclopista de Ferrocarril de Cuernavaca,9.012E+11,19.271887,-99.217068,PASO PEATONAL,La calle está inclinida y tiene una rejilla de drenaje por lo que no hay paso peatonal
Calle Orquidea y Azucena,9.012E+11,19.270319,-99.218762,PASO PEATONAL,No cuenta con paso peatonal
Calle Azucenas. Esq. Calle Gardenias,9.012E+11,19.272374,-99.220739,RAMPA,La rampa está muy angosta y le falta un cacho a la banqueta
Calle Yucaltepec. Esq. Calle Magnolia,9.012E+11,19.272228,-99.221885,RAMPA,Del lado derecho de la calle de Magnolia hay un poste que no permite el uso de la rampa
TESOEM,1.507E+12,19.3416099,-98.9552798,LUMINARIAS,No hay iluminacion en toda esa parte solo hay unas llampara a lo largo de la calle separadas cada 100 metros
